Time[s],0,2,4,6
19.1,0,1,1,0.333333333
19.2,0.666666667,2,-0.333333333,-0.333333333
19.3,0,1.666666667,0.333333333,0.333333333
19.4,0.666666667,1,1,-0.666666667
19.5,-0.333333333,0.666666667,-0.333333333,-0.333333333
19.6,1,1.333333333,-0.333333333,-2
19.7,0.666666667,1.333333333,1,-0.666666667
19.8,0,2,-0.333333333,-0.666666667
19.9,-0.666666667,1,-0.333333333,0.333333333
20,0.666666667,2,1,-1
20.1,-0.333333333,2,0,-1
20.2,-0.333333333,0.666666667,-0.666666667,0
20.3,0,1.333333333,0,0
20.4,-0.666666667,1.333333333,0.666666667,0.333333333
20.5,-0.333333333,2.666666667,0,-0.333333333
20.6,-0.666666667,1.333333333,0.333333333,-0.333333333
20.7,0,2.333333333,1,0
20.8,-1,2.666666667,1,-0.666666667
20.9,1,2,0.666666667,-0.333333333
21,0.666666667,2,0.666666667,-2
21.1,0,1.333333333,-1.333333333,-1
21.2,-0.333333333,2.666666667,-1,-1.333333333
21.3,-1,1.666666667,1,-1
21.4,-0.333333333,1.666666667,-0.333333333,0.333333333
21.5,-1,2,-0.333333333,0
21.6,-0.333333333,2,-0.666666667,-0.333333333
21.7,-1,2,0.666666667,-0.666666667
21.8,-0.333333333,1.333333333,-1.666666667,-1.333333333
21.9,-1.333333333,-1,1.333333333,-2.333333333
22,-0.666666667,0.333333333,0.333333333,0
22.1,1,0.666666667,-1,-0.666666667
22.2,1,2.333333333,-0.333333333,-0.666666667
22.3,-0.333333333,1,1,-0.333333333
22.4,-1.666666667,2,-2,-0.666666667
22.5,-1.333333333,1.666666667,0,-0.666666667
22.6,0,1.333333333,0.333333333,-0.666666667
22.7,0.666666667,1.666666667,-0.333333333,-2
22.8,0.333333333,1,0,-0.666666667
22.9,-0.666666667,2.666666667,0.333333333,-1
23,-1.333333333,1.333333333,-0.666666667,-0.666666667
23.1,-0.666666667,2.666666667,-0.333333333,-0.666666667
23.2,-0.333333333,2.333333333,1,-1
23.3,-2,2,-0.666666667,-0.333333333
23.4,-0.333333333,3,0,-1
23.5,0,2.333333333,0,-0.666666667
23.6,0.333333333,2,1.333333333,-0.333333333
23.7,1,0.666666667,0,-2
23.8,-0.666666667,2.333333333,0.333333333,-0.333333333
23.9,0,0.333333333,1,-1
24,0.333333333,1.333333333,0,-1
24.1,-0.333333333,1,0.333333333,-2
24.2,0,2,1.333333333,-0.666666667
24.3,1,1.666666667,-1.666666667,-2.666666667
24.4,0,1.666666667,0,-2.333333333
24.5,-2,1,0.333333333,-1
24.6,-0.333333333,1.333333333,0,0
24.7,0.333333333,1.333333333,-1.333333333,-0.666666667
24.8,-0.666666667,2.333333333,0,0
24.9,-0.666666667,1.666666667,-1.333333333,-0.333333333
25,0.333333333,2,0,-0.333333333
25.1,-0.333333333,2,-0.666666667,-0.333333333
25.2,0.333333333,1.333333333,0,0.333333333
25.3,-0.333333333,1.333333333,-0.666666667,-0.333333333
25.4,0,1,-2,-2
25.5,0.333333333,1.666666667,0.666666667,-0.333333333
25.6,0.333333333,0,-0.666666667,-1.333333333
25.7,-0.333333333,1.333333333,-0.666666667,-0.666666667
25.8,-1.333333333,0.666666667,1.333333333,-0.666666667
25.9,-0.666666667,1.333333333,-0.666666667,-0.333333333
26,0,2.666666667,-1,-1.666666667
26.1,0,0.666666667,1,-1.333333333
26.2,0.333333333,2,-0.333333333,-0.666666667
26.3,-1.333333333,2.333333333,0.666666667,-0.666666667
26.4,0.333333333,2.333333333,-1.333333333,0
26.5,-0.666666667,1.333333333,0,-1
26.6,-2.333333333,2,-0.666666667,-0.333333333
26.7,-0.666666667,1.666666667,-1,-1.333333333
26.8,0.333333333,2,1,-1.666666667
26.9,0.666666667,1,-0.333333333,-1
27,-1,1,0.333333333,-0.666666667
27.1,0.333333333,0.666666667,1,-0.333333333
27.2,0.333333333,1.333333333,-0.333333333,-0.333333333
27.3,-2,3,-0.333333333,-1
27.4,0.333333333,1.333333333,0.333333333,-0.666666667
27.5,-0.333333333,2.666666667,-1,-0.333333333
27.6,-0.333333333,2.333333333,-0.333333333,-2.333333333
27.7,-0.666666667,2,0.333333333,-0.333333333
27.8,-0.333333333,1.333333333,-1,-2
27.9,-0.333333333,1.666666667,-1,-1.333333333
28,-0.666666667,1.333333333,1.333333333,0
28.1,-0.333333333,1.666666667,0,-1.333333333
28.2,-0.333333333,2.333333333,-0.333333333,0.333333333
28.3,-0.666666667,1,-0.666666667,-1
