x,z_original,z_tilt_corrected,waviness_component,z_corrected
19.5,0.00271688,0.24595782743487393,0.2480672868920168,-0.001554943922153215
19.75,-0.021893511,0.2199231333337012,0.2503151279337012,-0.029837479065010355
20.0,0.003498754,0.24389109523252847,0.25331931143252845,-0.008873700665010333
20.25,0.008562307,0.24753034513135574,0.24995681407421289,-0.0018719534078674963
20.5,-0.140142512,0.09740122303018302,0.24735597817304017,-0.14940023960786752
20.75,-0.114042835,0.1220765969290103,0.25568966407186744,-0.1330585516078675
21.0,-0.062997694,0.17169743482783756,0.2679263326849804,-0.0956743823221532
21.25,-0.085783707,0.14748711872666487,0.2773216639838077,-0.1292800297221532
21.5,-0.065231615,0.16661490762549208,0.2858925713969207,-0.11872314823643898
21.75,-0.024313589,0.2061086305243194,0.2938656383243194,-0.08720249226501034
22.0,-0.04233391,0.18666400642314668,0.3029429014802895,-0.1157243795221532
22.25,-0.05074835,0.17682526332197396,0.3101075012076882,-0.1327277223507246
22.5,-0.02662198,0.1995273302208012,0.3164912914779441,-0.11640944572215323
22.75,-0.037568205,0.18715680211962848,0.32206555031962847,-0.13435423266501034
23.0,0.063889143,0.28718984701845574,0.3283280701898843,-0.040583707636438926
23.25,0.101381812,0.323258212917283,0.3376287256887116,-0.013815997236438945
23.5,0.121784984,0.3422370818161103,0.3492558524446817,-0.006464255093581781
23.75,0.202876386,0.42190418071493757,0.3586384186006519,0.06382027764927534
24.0,0.22354018,0.4411436716137649,0.3667561586709077,0.07494202847784681
24.25,0.20946646,0.4256456485125921,0.37337078774116356,0.05282937630641821
24.5,-0.018542626,0.1962122594114194,0.37778553418284794,-0.1810187592364389
24.75,-0.002905159,0.2104254233102467,0.38228644645310383,-0.1713065076078675
25.0,0.376787303,0.588693582209074,0.39052758423764533,0.19872051350641828
25.25,0.49574371,0.7062256861079013,0.3972794397650441,0.3095007618778468
25.5,0.450432308,0.6594899810067285,0.4005410563210142,0.25950344022070393
25.75,0.397116012,0.6047493819055558,0.40174001719127006,0.2035638802492754
26.0,0.374143831,0.580352897804383,0.39993488323295445,0.18097253010641823
26.25,0.425710225,0.6304949887032103,0.3979744385603532,0.23307506567784675
26.5,0.369824918,0.5731853786020377,0.39487043825918045,0.17886945587784686
26.75,0.304854986,0.5067911435008648,0.3927206421580077,0.11462501687784676
27.0,0.258501076,0.45901293039969215,0.3914250554854064,0.06814239044927539
27.25,0.23627354,0.4353610912985194,0.3906666743270908,0.04524893250641826
27.5,0.290260021,0.4879232691973467,0.38530534742591815,0.10317243730641817
27.75,0.333114106,0.529353051096174,0.37810901246760253,0.15179855416356114
28.0,0.329018587,0.5238332289950013,0.3699488989950012,0.1544388455349897
28.25,0.336688391,0.5300787298938285,0.3581964246081142,0.172436820820704
28.5,0.259469115,0.4514351507926558,0.34500360162122723,0.1069860647064182
28.75,0.207865488,0.39840722069148304,0.33084380909148303,0.06811792713498965
29.0,0.215944845,0.4050622745903103,0.32279539213316744,0.0828213979921325
29.25,0.198147919,0.3858410454891376,0.31284920417485185,0.07354635684927541
29.5,0.172122717,0.3583915403879649,0.2921716749022506,0.06677438102070393
29.75,0.101009494,0.28585401428679214,0.26927937054393497,0.01712915927784681
30.0,0.006030532,0.18945074918561944,0.2481550566713337,-0.058149791950724616
30.25,-0.078560695,0.1034352190844467,0.2265265142844467,-0.12253677966501036
30.5,-0.043078544,0.137493066983274,0.206670217783274,-0.06862263526501036
30.75,-0.101123312,0.07802399588210124,0.18760430448210125,-0.10902579306501037
31.0,-0.076140605,0.10158239978092852,0.17069997778092855,-0.06856306246501039
31.25,-0.022116905,0.15418179667975582,0.15598383179404152,-0.001247519579296055
31.5,-0.014260937,0.16061346157858308,0.14374734086429736,0.01742063624927537
31.75,-0.07390669,0.09954340547741035,0.13367456404883893,-0.03357664303643894
32.0,-0.100639303,0.07138648937623762,0.12291990851909478,-0.05097890360786751
32.25,-0.113968379,0.05663311027506491,0.11094510573220775,-0.053757479922153205
32.5,-0.158609609,0.010567577173892164,0.09780015254532073,-0.08667805983643893
32.75,-0.188358016,-0.020605132927280535,0.0855360033298623,-0.10558662072215319
33.0,-0.23627567,-0.06994709002845327,0.075750445057261,-0.14514301955072462
33.25,-0.250386611,-0.08548233412962598,0.06689675169894542,-0.15182457029358176
33.5,-0.301171129,-0.1376911552307987,0.05907810934062984,-0.1962147490364389
33.75,-0.297075613,-0.13501994233197145,0.05404655223945711,-0.18851197903643893
34.0,-0.255636334,-0.0950049664331442,0.05181271782399867,-0.14626316872215323
34.25,-0.239068069,-0.0798610045343169,0.05078201077996881,-0.13008849977929607
34.5,-0.310032363,-0.1522496016354896,0.05261391665022465,-0.2043090027507246
34.75,-0.270975938,-0.11461747973666238,0.05589255374905193,-0.16995551795072467
35.0,-0.191746132,-0.03681197683783508,0.057840410819307776,-0.09409787212215322
35.25,-0.171975908,-0.018466055939007832,0.06082119123242076,-0.07873273163643896
35.5,-0.160359515,-0.008273966040180556,0.06188824421696232,-0.06960769472215324
35.75,-0.119925498,0.030735747858646724,0.061951095772932445,-0.030660832379296076
36.0,-0.06642304,0.082813902757474,0.061463976500331155,0.021904441792132485
36.25,-0.036302314,0.11151032565630127,0.06176085822772985,0.05030398296356106
36.5,-0.036153383,0.11023495355512855,0.06172584275512856,0.04906362633498963
36.75,-0.081204166,0.06375986745395583,0.06162700088252726,0.0026873821064182127
37.0,-0.042706223,0.1008335073527831,0.0640173876384974,0.037370635249275336
37.25,-0.033174816,0.10894061125161038,0.06750026913732467,0.04199485764927535
37.5,-0.052163171,0.08852795315043764,0.07092464320758052,0.018157825477846768
37.75,-0.007857029,0.13140979204926495,0.07621700219212207,0.05574730539213252
38.0,0.071894029,0.2097365469480922,0.08297098511952078,0.12732007736356107
38.25,0.143789121,0.2802073358469195,0.08935371170406234,0.19140813967784678
38.5,0.114785356,0.24977926774574677,0.0972842276028896,0.1530495556778468
38.75,0.119997846,0.25356745464457403,0.1062242640160026,0.14789770616356107
39.0,0.086042212,0.21818751754340132,0.11752268520054415,0.10121934787784681
39.25,0.074947062,0.20566806444222857,0.1276275529850857,0.0785950269921325
39.5,0.053054611,0.18235131034105587,0.1357889077981987,0.04711691807784682
39.75,0.011056858,0.13892925423988314,0.14352794452559742,-0.00404417475072463
40.0,0.029933508,0.1563816011387104,0.15046276928156754,0.006473347392132514
40.25,0.018540497,0.14356428703753768,0.1552796216661091,-0.011160819093581766
40.5,-0.013665221,0.10993426593636495,0.15663921216493637,-0.04615043069358178
40.75,-0.052014236,0.07016094783519224,0.15645420457804934,-0.08573874120786747
41.0,-0.067577236,0.05317364473401951,0.1558777284197338,-0.10214956815072465
41.25,-0.025095464,0.09423111363284678,0.15652991008998962,-0.0617442809221532
41.5,-0.016606555,0.10129571953167406,0.15588216104595976,-0.054031925979296055
41.75,-0.066571969,0.04990600243050131,0.15496527751621558,-0.10450475955072464
42.0,-0.015303438,0.09975023032932857,0.1546866579579,-0.05438191209358177
42.25,-0.014931118,0.09869824722815586,0.15289960854244156,-0.05364684577929606
42.5,-0.023829574,0.08837548812698313,0.1523731298126974,-0.06344312615072463
42.75,0.071782331,0.18256309002581042,0.1497595285400961,0.03335807702070395
43.0,0.123683814,0.2330402699246377,0.14724166681035197,0.08635311864927536
43.25,0.135262987,0.24319513982346497,0.14323452299489353,0.10051513236356108
43.5,0.132545043,0.23905289272229224,0.13790830066514936,0.10169910759213252
43.75,0.143751895,0.2488354416211195,0.13003221467826237,0.11935774247784678
44.0,0.148740986,0.2524002295199468,0.12246249554851821,0.13049224950641822
44.25,0.13220996,0.23444490041877405,0.1163118492759169,0.1186875666778468
44.5,0.098514944,0.19932558131760136,0.10913466220331561,0.0907454346492754
44.75,0.031013236,0.13039957021642862,0.10432649758785717,0.026627588163561092
45.0,0.007073029,0.10503506011525585,0.09905771891525587,0.006531856734989616
45.25,-0.00647944,0.09005828801408315,0.09365490504265457,-0.003042101493581775
45.5,-0.008527199,0.0865862259129104,0.08892652334148185,-0.001785781893581803
45.75,-0.015526831,0.0781622908117377,0.0802440976117377,-0.001527291265010358
46.0,-0.015415131,0.07684968771056495,0.07000856336770783,0.007395639877846766
46.25,-0.012064247,0.07877626860939226,0.06221438803796367,0.01711639610641823
46.5,-0.02055315,0.06886306250821951,0.050301283993933806,0.01911629404927535
46.75,0.103317882,0.19130979140704682,0.03673720432133251,0.15512710262070395
47.0,0.102163685,0.18873129130587407,0.024910265848731218,0.1643755409921325
47.25,0.076510804,0.16165410720470136,0.010833447718987064,0.15137517502070394
