x,z_original,z_tilt_corrected,waviness_component,z_corrected
10.0,30.45952836,0.13915903286392653,-0.09738486273607388,0.23567987939271295
10.25,30.40372774,0.08331261837012652,-0.08094411082987359,0.16339271299271266
10.5,30.42021429,0.09975337387632568,-0.07338072972367338,0.1722700873927116
10.75,30.07272862,-0.24777809061747244,-0.0662231718174733,-0.1824189350072866
11.0,30.10443351,-0.21611899511127272,-0.05703650071127295,-0.15994651060728723
11.25,30.1995482,-0.12105009960507426,-0.04201612800507258,-0.07989798780728913
11.5,30.139943,-0.1807010940988749,-0.028517590498872307,-0.15304751980729003
11.75,30.18940264,-0.1312872485926699,-0.016895982992672125,-0.11525528180728523
12.0,30.32636779,0.005632106913527698,-0.02617424348647201,0.03094233419271225
12.25,30.29466289,-0.026118587580270494,-0.024698202780271815,-0.002284401007286131
12.5,30.36948645,0.04865917792592758,-0.020533586874071506,0.06832874859271164
12.75,30.36187728,0.04100421343212848,-0.03006548656787142,0.07020568379271246
13.0,30.45065099,0.12973212893832956,-0.033865141061671364,0.16273325379271344
13.25,30.49376965,0.17280499444453004,-0.038730079955471085,0.21067105819271367
13.5,30.36821826,0.047207809950727625,-0.0431384684492708,0.08948226219271098
13.75,30.31749042,-0.0035658245430733844,-0.04277844054307063,0.03834859979270979
14.0,30.39611856,0.07501652096313241,-0.025627499036870446,0.09978000379271541
14.25,30.40119135,0.08004351646933164,-0.01704956153067026,0.09622906179271445
14.5,30.37963202,0.05843839197552872,-0.011160199224469904,0.06873457499271117
14.75,30.35934088,0.038101457481730466,-0.00014732571826963844,0.037384766992712655
15.0,29.82035764,-0.5009275770120705,0.003510011787930455,-0.5053016050072884
15.25,30.19320723,-0.12812378150586975,0.0023482048941305764,-0.13133600260728778
15.5,30.33904975,0.017672944000331845,0.001490765200330816,0.015318162592713576
15.75,30.04482831,-0.2765942904934699,-0.0027147116934689106,-0.2747435950072884
16.0,30.27056717,-0.05090122498727065,-0.002151772187268744,-0.04961346900728936
16.25,30.33904975,0.0175355605189336,-0.008893641081068562,0.02556518539271471
16.5,30.29466289,-0.026897093974866473,-0.015381870774868486,-0.012379239407285438
16.75,30.43035985,0.10875407153133002,-0.014768203668668132,0.1226582589927107
17.0,30.50264702,0.18099544703753215,-0.019988237362467867,0.20011966819271257
17.25,30.32002681,-0.0016705574562680652,-0.024244441856267777,0.02170986819271226
17.5,30.34792712,0.026183958049934595,-0.026572989150067724,0.051892930992714865
17.75,30.4164097,0.09462074355613173,-0.0315901116438675,0.12534683899271176
18.0,30.28198094,-0.03985381093766757,-0.03554194933766733,-0.0051758778072876965
18.25,30.29846748,-0.02341306543146923,-0.016970628631467075,-0.0073064530072896065
18.5,30.27437176,-0.047554579925264545,-0.013719113925266934,-0.03469948220728506
18.75,30.26549439,-0.056477744419065584,-0.013714180419066888,-0.04362758020728615
19.0,30.37709563,0.05507770108713264,0.0021685650871333916,0.05204511979271179
19.25,30.28324913,-0.038814593406665904,0.003695333793333664,-0.04337394340728702
19.5,30.33270877,0.010599252099531973,-0.0071047615004662616,0.016839997392710783
19.75,30.3847048,0.06254948760573645,-0.0007081207942662591,0.06239359219271525
20.0,30.18813444,-0.13406666688806676,-0.017443372888066005,-0.1174873102072882
20.25,30.29085831,-0.03138859138186542,-0.036359922181865824,0.00410731459271295
20.5,30.34412253,0.021829834124333067,-0.031688027875665575,0.052653845792711186
20.75,30.25534882,-0.06698967036946565,-0.021486799569465465,-0.046366887007287645
21.0,30.2616898,-0.06069448486326531,-0.013416140463265214,-0.048142360607287556
21.25,30.28578552,-0.036644559357064094,0.0016042318429349747,-0.03911280740728652
21.5,30.27563996,-0.046835913850866245,0.016624604549135197,-0.06432453460728889
21.75,30.34031795,0.01779628165533301,0.0249489028553352,-0.008016637407289643
22.0,30.44304181,0.12047434716153707,-0.0022362832384647813,0.1218466141927144
22.25,30.30988125,-0.012732007332263841,-0.012782739732264568,-0.0008132838072867259
22.5,30.07019223,-0.25246682182606456,-0.009683408226064309,-0.2436474298072877
22.75,30.45572377,0.1330189236801336,-0.011910499519864096,0.14406540699271023
23.0,30.01312341,-0.30962723081366356,-0.008303890013664082,-0.3021873570072869
23.25,30.03087815,-0.2919182853074633,-0.004088546507463729,-0.288693755007287
23.5,30.43796903,0.11512680019873803,-0.0036777906012634785,0.11794057459271406
23.75,30.60410269,0.2812146657049373,-0.0033684902950632083,0.28371913979271307
24.0,30.61932104,0.2963872212111381,-0.005950676388863013,0.30147388139271364
24.25,30.65863511,0.33565549671733713,-0.017562417282662852,0.35235389779271253
24.5,30.67512166,0.3520962522235363,-0.01786185097646263,0.3690940869927115
24.75,30.48362408,0.16055287772973562,-0.013747963070262395,0.17343682459271056
25.0,29.5870096,-0.7361073967640652,-0.011257365964062082,-0.7257140470072906
25.25,30.11457908,-0.20858371125786188,-0.01779632325786205,-0.1916514042072873
25.5,30.36187728,0.038668694248340546,-0.0195161365516618,0.057320814592714896
25.75,30.27817635,-0.045078030245462725,-0.01443841984546149,-0.031503626607288684
26.0,30.4760149,0.15271472526073684,-0.014534942339261173,0.16638565139271055
26.25,30.29466289,-0.028683079233057875,-0.006464283233061061,-0.023082812207284267
26.5,30.30227207,-0.021119693726859148,0.003280394673139047,-0.025264104607285648
26.75,30.3529999,0.029562341779339838,0.0034882393793391926,0.025210086192713192
27.0,30.19193903,-0.1315443227144608,-0.0083264127144606,-0.12408192620728763
27.25,29.97254114,-0.3509880072082611,-0.020648343208260467,-0.3312036802072881
27.5,30.27944454,-0.0441304017020587,-0.032716634502060304,-0.012277783407285851
27.75,30.37963202,0.05601128380413958,-0.04671258379586003,0.10185985139271217
28.0,30.40372774,0.0800612093103408,-0.04711347308965965,0.126310666192713
28.25,30.28071274,-0.04299958518346211,-0.015251459583459259,-0.028612141807290308
28.5,30.26803078,-0.05572733967725749,-0.00170219447725908,-0.05488916140728586
28.75,30.19828001,-0.12552390417105694,0.0008391306289410212,-0.12722705100728543
29.0,30.45445557,0.13060586133514154,-0.009200047464858682,0.13894189259271275
29.25,30.21603475,-0.10786075315866081,-0.019442136758658347,-0.08928263260728991
29.5,30.27563996,-0.04830133765246056,-0.015835526852458297,-0.03332982700728971
29.75,30.44431001,0.12032291785374175,-0.014004391346258228,0.1334632929927125
30.0,30.30988125,-0.014151636640057554,-0.01136161024005797,-0.003654042607287037
30.25,30.31241764,-0.011661041133858654,0.0005643640661422908,-0.013089421407288398
30.5,30.35807269,0.03394821437234133,0.024766474772342565,0.00831772339271131
30.75,30.32636779,0.0021975198785431386,0.039482480278542675,-0.03814897660728699
31.0,30.47474671,0.15053064538474506,0.058155256584742764,0.09151137259271484
31.25,30.3847048,0.0604429408909444,0.08651704969094301,-0.02693812500728606
31.5,30.45445557,0.13014791639714265,0.10879150239714339,0.020492397792711815
31.75,30.42655527,0.10220182190334318,0.13517490990334355,-0.033837104207287826
32.0,30.02834176,-0.29605748259045533,0.11757728460954359,-0.41449878340728635
32.25,30.22110753,-0.10333750708425479,0.10687864491574377,-0.211080168207286
32.5,30.385973,0.061482168421943345,0.08897665282194414,-0.02835850060728825
32.75,30.34919532,0.024658693928142603,0.06904554712814434,-0.045250869407289195
33.0,30.42021429,0.09563186943434634,0.05586124343434453,0.03890660979271436
33.25,30.49123325,0.1666050349405457,0.008283467740544559,0.1574575509927137
33.5,30.57873877,0.2540647604467457,-0.04852677395325511,0.3017275181927134
33.75,30.64848954,0.32376973595294395,-0.09995986524705483,0.4228655849927114
34.0,30.84759629,0.5228306914591418,-0.14489979334085473,0.666866468592709
34.25,31.11391743,0.7891060369653471,-0.19562269463465465,0.9838647153927143
34.5,30.83871892,0.5138617324715473,-0.17106548912845454,0.6840632053927144
34.75,30.92876083,0.6038578479777468,-0.1537623640222543,0.7567561957927136
35.0,29.75948424,-0.5654645365160564,-0.1257556661160541,-0.44057288660728977
35.25,30.18813444,-0.1368601310098536,-0.03875249620985383,-0.0989716510072872
35.5,29.76962981,-0.5554105555036517,-0.015006935903653554,-0.5412676358072857
