x,z
98.5,2.047149793
98.75,2.080322221
99,2.077239827
99.25,2.057130877
99.5,2.078267291
99.75,2.08237715
100,2.055002558
100.25,2.025132694
100.5,1.997831493
100.75,2.004363232
101,2.006051209
101.25,2.000473544
101.5,1.980364595
101.75,1.956292567
102,1.948293022
102.25,1.966934165
102.5,1.971044023
102.75,1.950935073
103,1.938091766
103.25,1.971264194
103.5,2.006051209
103.75,2.019848591
104,2.043480276
104.25,2.052433896
104.5,2.056543755
104.75,2.048544209
105,2.045388425
105.25,2.070487917
105.5,2.08912906
105.75,2.129640521
106,2.124062856
106.25,2.096688264
106.5,2.086266837
106.75,2.075918801
107,2.072763017
107.25,2.072029114
107.5,2.073790482
107.75,2.104541029
108,2.111146158
108.25,2.122521659
108.5,2.13397055
108.75,2.116283481
109,2.12046673
109.25,2.090743647
109.5,2.058525293
109.75,2.065130423
110,2.100798122
110.25,2.112247013
110.5,2.114008381
110.75,2.106008835
111,2.102926441
111.25,2.085386153
111.5,2.072616236
111.75,2.088908889
112,2.105201542
112.25,2.111806671
112.5,2.106375787
112.75,2.076652704
113,2.056690535
113.25,2.04876438
113.5,2.053021019
113.75,2.054782387
114,2.028361869
114.25,2.003555938
114.5,2.000546935
114.75,1.999959812
115,2.023591498
115.25,2.073056578
115.5,2.094266383
115.75,2.09367926
116,2.085826495
116.25,2.07562524
116.5,2.05324119
116.75,2.052654067
117,2.056984097
117.25,2.053975093
117.5,2.046195718
117.75,2.036801756
118,2.026527111
118.25,2.013903974
118.5,2.020655884
118.75,2.038709905
119,2.055149338
119.25,2.069166891
119.5,2.083184443
119.75,2.099623877
120,2.111292939
120.25,2.096247922
120.5,2.090890428
120.75,2.095220457
121,2.094780115
121.25,2.08457886
121.5,2.081716637
121.75,2.122374878
122,2.088028205
122.25,2.036654976
122.5,2.012803119
122.75,1.995409612
123,1.985208356
123.25,1.979850862
123.5,1.974566759
123.75,1.978970179
124,2.014931439
124.25,2.030563579
124.5,2.03981076
124.75,2.04421418
125,2.046195718
125.25,2.043333496
125.5,2.038049392
125.75,2.035187169
126,2.034673437
126.25,2.036654976
126.5,2.026527111
126.75,2.017206539
127,2.019188078
127.25,2.032471727
127.5,2.068359597
127.75,2.094486554
128,2.122301488
128.25,2.126704908
128.5,2.128759837
128.75,2.116870604
129,2.097055215
129.25,2.08692735
129.5,2.096101141
129.75,2.112613965
130,2.123402343
130.25,2.099550486
130.5,2.091771112
130.75,2.071955723
131,2.056910706
131.25,2.053975093
131.5,2.055883242
131.75,2.052947629
132,2.045168254
132.25,2.056763926
132.5,2.070781478
132.75,2.08237715
133,2.086633789
133.25,2.059479368
133.5,2.029829675
133.75,2.022050301
134,2.033572582
134.25,2.047516744
134.5,2.056617145
134.75,2.065717545
135,2.079661708
135.25,2.081496466
135.5,2.080909343
135.75,2.068139426
136,2.069974184
136.25,2.09595436
136.5,2.11151311
136.75,2.087367692
137,2.072175894
137.25,2.081202905
137.5,2.090229915
137.75,2.094339773
138,2.074304214
138.25,2.059039026
138.5,2.036508195
138.75,2.016399245
139,2.047149793
139.25,2.103733735
139.5,2.094046212
139.75,2.094853505
140,1.844592489
140.25,1.779128317
140.5,1.717774003
140.75,1.657153593
141,1.624861849
141.25,1.636163959
141.5,1.669189607
141.75,1.745001815
142,1.852371864
142.25,1.969429436
142.5,2.00406967
142.75,2.053975093
143,2.057938171
143.25,2.049718454
143.5,2.060873784
143.75,2.090670257
144,2.084799031
144.25,2.067699084
144.5,2.049718454
144.75,2.036654976
145,2.008986822
145.25,2.000693715
145.5,2.02872882
145.75,2.072909798
146,2.100944903
146.25,2.073203359
146.5,2.026894062
146.75,2.008913432
147,2.01507822
147.25,2.021243007
147.5,2.022490643
147.75,2.009280384
148,1.998492006
148.25,2.014270926
148.5,2.027627966
148.75,2.033719363
149,2.034966998
149.25,2.021683349
149.5,2.044727912
149.75,2.069460452
150,2.073056578
150.25,2.069460452
150.5,2.065790936
150.75,2.057277658
151,2.044654522
151.25,2.045828767
151.5,2.058378513
151.75,2.061974639
152,2.055883242
152.25,2.02865543
152.5,2.010454629
152.75,2.035774292
153,2.058011561
153.25,2.063956178
153.5,2.052947629
153.75,2.056470364
154,2.064836862
154.25,2.07562524
154.5,2.071882333
154.75,2.070561307
155,2.098302851
155.25,2.109017839
155.5,2.110118694
155.75,2.05551629
156,2.039590589
156.25,2.050378967
156.5,2.070781478
156.75,2.081496466
157,2.077753559
157.25,2.052140335
157.5,2.02410523
157.75,2.027554575
158,2.057644609
158.25,2.070854868
158.5,2.054929167
158.75,2.039003466
159,2.056984097
159.25,2.074964727
159.5,2.090523476
159.75,2.103660345
160,2.087734644
160.25,2.081423076
160.5,2.084872421
160.75,2.104467638
161,2.105495103
161.25,2.106522568
161.5,2.109971913
