 ,Area,Mean,Min,Max
403,27,0.000,0,0
404,59,0.000,0,0
405,55,0.000,0,0
406,33,0.000,0,0
407,35,0.000,0,0
408,37,0.000,0,0
409,41,0.000,0,0
410,100,0.000,0,0
411,17,0.000,0,0
412,74,0.000,0,0
413,58,0.000,0,0
414,30,0.000,0,0
415,31,0.000,0,0
416,25,0.000,0,0
417,51,0.000,0,0
418,36,0.000,0,0
419,43,0.000,0,0
420,64,0.000,0,0
421,56,0.000,0,0
422,18,0.000,0,0
423,43,0.000,0,0
424,30,0.000,0,0
425,17,0.000,0,0
426,51,0.000,0,0
427,66,0.000,0,0
428,25,0.000,0,0
429,57,0.000,0,0
430,62,0.000,0,0
431,20,0.000,0,0
432,78,0.000,0,0
433,21,0.000,0,0
434,18,0.000,0,0
435,11,0.000,0,0
436,14,0.000,0,0
437,55,0.000,0,0
438,24,0.000,0,0
439,30,0.000,0,0
440,23,11.087,0,255
441,18,0.000,0,0
442,27,9.444,0,255
443,38,0.000,0,0
444,51,0.000,0,0
445,69,0.000,0,0
446,54,0.000,0,0
447,78,0.000,0,0
448,19,0.000,0,0
449,12,0.000,0,0
450,45,0.000,0,0
451,16,0.000,0,0
452,45,0.000,0,0
453,62,0.000,0,0
454,103,0.000,0,0
455,61,4.180,0,255
456,71,0.000,0,0
457,38,0.000,0,0
458,26,0.000,0,0
459,34,0.000,0,0
460,26,0.000,0,0
461,28,27.321,0,255
462,87,38.103,0,255
463,23,0.000,0,0
464,48,0.000,0,0
465,28,0.000,0,0
466,43,0.000,0,0
467,17,0.000,0,0
468,33,0.000,0,0
469,98,0.000,0,0
470,92,0.000,0,0
471,15,0.000,0,0
472,35,0.000,0,0
473,56,0.000,0,0
474,42,0.000,0,0
475,13,0.000,0,0
476,83,0.000,0,0
477,25,0.000,0,0
478,22,0.000,0,0
479,39,0.000,0,0
480,13,0.000,0,0
481,66,3.864,0,255
482,87,0.000,0,0
483,16,0.000,0,0
484,28,0.000,0,0
485,40,0.000,0,0
486,15,0.000,0,0
487,37,0.000,0,0
488,44,0.000,0,0
489,75,0.000,0,0
490,43,0.000,0,0
491,28,0.000,0,0
492,14,0.000,0,0
493,46,0.000,0,0
494,40,0.000,0,0
495,83,0.000,0,0
