Class,N1,N2,N3
311,1058.23,897.16,974.97
312,979.49,844.42,905.52
313,917.25,795.51,836.99
314,848.82,733.29,779.28
315,773.07,680.94,711.81
316,696.61,627.72,639.82
317,626.24,575.3,581.16
318,557.23,509.31,515.17
319,479.87,457.9,449.55
320,406.64,400.16,383.04
321,303.37,304.3,283.71
